"NOM OPTION","NOM VENTE","DESCRIPTION"
"B45","B45","BENNE AVEC PARE-CHOC À 45°"
"BGR","BGRAISSE","PARE-CHOC GRAISSABLE"
"VIB","BVIBINST","PLAQUE POUR VIBRATEUR INSTALLÉE SOUS LE PLANCHER À L'AVANT DE LA BENNE"
"CC","CHAMIL","PAS DE CROCHET SUR LES POTEAUX ARRIÈRE, CHAÎNES CENTRÉES SUR LE PARE-CHOC"
"C 1/4","COT250450","CÔTÉS NON STD POUR CE MODÈLE EN 1/4"" 450"
"DEF","DEFO","DEVANT AVEC DÉFLECTEUR ONTARIO"
"DIN","DEIN","DEVANT INCLINÉ"
"SC01","DEPC65","SUPPORTS DE MADRIER AVANT POUR PROTÈGE-CABINE 65"" DE LARGE"
"C12R","DEV12R","DEVANT AVEC UNE COUPE 12 ROUES"
"D1/4","DEV250-HD","DEVANT AVEC PLAQUE EN 1/4"" 450"
"DPLHD","DEV250-HD","DEVANT PLAT HEAVY DUTY"
"D45","DEV45","DEVANT AVEC LES CÔTÉS DU DEVANT À 45°"
"DPL","DHPE","DEVANT PLAT"
"DPP","DHPP","DEVANT PIN TO PIN"
"CODS","DS","CÔTÉS AVEC HAUTS DE CÔTÉ DIRT SHEDDING"
"EXT8","EXT8INST","EXTENTION DE 8"" INSTALLÉE SUR LE PARE-CHOC"
"FEIN","FEINPINST","FER ANGLE INVERSÉ SUR LE HAUT DES CÔTÉS"
"E1","INSTACC","UNE ÉCHELLE INSTALLÉE À L'AVANT, CÔTÉ CONDUCTEUR"
"E1à12","INSTACC","UNE ÉCHELLE INSTALLÉE À 12"" DU DEVANT, CÔTÉ CONDUCTEUR"
"E1à13","INSTACC","UNE ÉCHELLE INSTALLÉE À 13"" DU DEVANT, CÔTÉ CONDUCTEUR"
"P1","INSTACC","POIGNÉE INSTALLATION SUR LE SUPPORT DE MADRIER AVANT, CÔTÉ CONDUCTEUR"
"TFIL","INSTKLTUBE","TROUS DANS LES SOLES POUR FILS"
"MI","INSTMI","MARCHES INTÉRIEURES INSTALLÉES À L'AVANT DE LA BENNE"
"SRTA","INSTRTASUP","SUPPORTS DE SHAFT DE ROULEAU À TOILE INSTALLÉS"
"TRTA","INSTRTATUBE","TROUS DANS LES SOLES POUR SHAFT DE ROULEAU À TOILE"
"STE","INSTSTE","SUPPORTS DE TENDEUR À TOILE ÉLECTRIQUE INSTALLÉS"
"DRV","KIT40T-REV-BIN","DEVANT POUR RÉSERVOIR VERTICAL"
"L102","L102","LARGEUR EXTÉRIEUR DE 102"" ET LARGEUR INTÉRIEUR STD"
"L96","L96","LARGEUR EXTÉRIEUR DE 96"" ET LARGEUR INTÉRIEUR STD"
"LC3/16","LINER188-450","LINER DE CÔTÉ EN 3/16"" 450"
"LF3/16","LINER188-450","LINER DE FOND EN 3/16"" 450"
"LP3/16","LINER188-450","LINER DE PORTE EN 3/16"" 450"
"LC1/4","LINER250-450","LINER DE CÔTÉ EN 1/4"" 450"
"LF1/4","LINER250-450","LINER DE FOND EN 1/4"" 450"
"LP 1/4","LINER250-450","LINER DE PORTE EN 1/4"" 450"
"M4OT-A1","M40T","MAINS 40 TONNES RAPPORTÉES"
"SANS B-A10","MISC","SANS SUPPORT DE VÉRIN B-A10 INSTALLÉ"
"BS-A43","MISC-OPTION","BENNE AVEC L'OPTION ""RIDELLES EN STAINLESS"""
"C 3/8","MISC-OPTION","CÔTÉS NON STD POUR CE MODÈLE EN 3/8"" 450"
"C+6","MISC-OPTION","PARTIE SUPÉRIEURE DES CÔTÉS 6"" PLUS HAUTE"
"COSS","MISC-OPTION","CÔTÉS SMOOTH SIDE AVEC TUBES SUR LE HAUT DES CÔTÉS"
"DHD","MISC-OPTION","DEVANT HEAVY DUTY"
"F84","MISC-OPTION","FOND SPÉCIAL AVEC LA PARTIE PLATE DE 84"" DE LARGE"
"PORTE 36/30","MISC-OPTION","PLAQUE DE PORTE DE 30"" AVEC TUBES DE 36"" POUR POTEAU 36"""
"POT AR 1/4","MISC-OPTION","POTEAUX ARRIÈRES EN 1/4"" STD"
"S3/8-450","MISC-OPTION","SOLES NON STD EN 3/8"" 450"
"SC08","MISC-OPTION","PORTE INSTALLÉE 1"" PLUS HAUT QUE STD"
"SOBEH","MISC-OPTION","SOLE EN I-BEAM (10"")"
"TUBE-59","MISC-OPTION","TUBE BPOC-59 INSTALLÉ SOUS LES POTEAUX ARRIÈRES"
"0c0c","NOTE","SANS CROCHET, SANS CHAÎNE"
"0PP","NOTE","SANS PROTÈGE PARE-CHOC"
"0T","NOTE","SANS TROU OBLONG À L'ARRIÈRE DES POTEAUX ARRIÈRES"
"0T0TC","NOTE","SANS TROU OBLONG SUR LES POTEAUX, SANS TROU ROND SUR LE CÔTÉ DES POTEAUX"
"0TC","NOTE","SANS TROU ROND SUR LE CÔTÉ DES POTEAUX ARRIÈRES"
"SC02","NOTE","SUPPORT DE BOOSTER INSTALLÉ SOUS LE PLANCHER À L'ARRIÈRE"
"PAUT","OPAU","PORTE À OUVERTURE AUTOMATIQUE"
"POC","OPC","PORTE AVEC OUVERTURE SUR LE CÔTÉ"
"CAL","OPCAL","DEVANT AVEC OPTION CALGARY"
"EDM","OPEDM","DEVANT AVEC L'OPTION EDMONTON"
"OPMAR","OPM","OUVERTURE DE PORTE MANUELLE AVEC POIGNÉE INSTALLÉE À L'ARRIÈRE"
"OPM","OPMINST","OUVERTURE DE PORTE MANUELLE"
"P2C","P2C","PORTE AVEC RENFORT CENTRAL"
"CLÉ","PCLI","2 CLÉVIS SUR LES POTEAUX ARRIÈRES"
"CLÉ8","PCLI","2 CLÉVIS À 8"" SUR LES POTEAUX ARRIÈRES"
"PHL","PHL","POTEAUX ARRIÈRES POUR PORTE HI-LIFT"
"I12","PI12","POTEAUX ARRIÈRES AVEC INCLINAISON DE 12"""
"F3/8","PLANCHER .375-4","FOND NON STD EN 3/8"" 450"
"LF3/8","PLANCHER .375-450","LINER DE FOND EN 3/8"" 450"
"F1/4","PLANCHER 1PCE .","FOND NON STD EN 1/4"" 450"
"BS-A5","POTSST","BENNE AVEC L'OPTION ""POTEAUX EN STAINLESS"""
"PRS","PRS4","POTEAUX POUR PORTE AVEC L'OPTION RUBBER SEAL"
"COP","PSC","CÔTÉS AVEC TUBES SUR LE HAUT DES CÔTÉS ET DES POTEAUX TOUT LE LONG DES CÔTÉS"
"2T","PTSP","2 TROUS OBLONGS À L'ARRIÈRE DES POTEAUX ARRIÈRES"
"3T","PTSP","3 TROUS OBLONGS À L'ARRIÈRE DES POTEAUX ARRIÈRES"
"T-R","PTSP-R","TROU ROND EN HAUT DES TROUS OBLONGS SUR LES POTEAUX ARRIÈRES"
"ROFFROL","ROLL-OFF","BENNE ROLLOFF AVEC ROULEAUX INSTALLÉS DUR LE PARE-CHOC"
"0S0P","SABLAGE ET PRIM","NI SANDBLASTÉ, NI PEINTURÉ"
"SOBE","SOBE","SOLE EN I-BEAM (8"")"
"S3/8","SOL375","SOLES NON STD EN 3/8"" STD"
"SOID","SOLDROITE","SOLES AVEC INTÉRIEUR PLIÉ À 90°"
"SOID30","SOLDROITE","SOLES AVEC INTÉRIEUR PLIÉ À 90° AVEC ESPACEMENT NON STD À 30"""
"SC09","SOLE-NATCH","TROUS PRÉ-COUPÉS DANS LES SOLES"
"SOH","SOLH","SOLES HAUTES (10"")"
"SOIDH","SOLH","SOLES AVEC INTÉRIEUR PLIÉ À 90° D'UNE HAUTEUR DE 10"""
"SOB","SOLS","SOLE BASSE (6"" DE HAUT)"
"Sà37,5od","SOLSP","SOLES À 37 1/2"" EXTÉRIEUR ET 34 1/2"" CENTRE/CENTRE"
"SF","SUP-FIL","SUPPORTS DE FILS INSTALLÉS SOUS LA BENNE"
"V102","V102","LARGEUR EXTÉRIEURE DE LA BENNE DE 102"" ET INTÉRIEUR DE 91"""
"V94","V94","LARGEUR EXTÉRIEURE DE LA BENNE DE 102"" ET INTÉRIEUR DE 94"""